,User Name,Heading,Rating,Review,tokens,tokens_seg,tokens_stem,review1
0,Arunangshu Banik,just wow,5,i am spellbound after seeing thiswhat a value of moneylove you miand also the package delivery service and packing was quite good ,"['i', 'am', 'spellbound', 'after', 'seeing', 'thiswhat', 'a', 'value', 'of', 'moneylove', 'you', 'miand', 'also', 'the', 'package', 'delivery', 'service', 'and', 'packing', 'was', 'quite', 'good']","['i', 'am', 'spellbound', 'after', 'seeing', 'this', 'what', 'a', 'value', 'of', 'money', 'love', 'you', 'mi', 'and', 'also', 'the', 'package', 'delivery', 'service', 'and', 'packing', 'was', 'quite', 'good']","['spellbound', 'see', 'valu', 'money', 'love', 'mi', 'also', 'packag', 'deliveri', 'servic', 'pack', 'quit', 'good']",spellbound see valu money love mi also packag deliveri servic pack quit good
1,Sachin Pashte ,awesome,5,overall the screen of the redmiis pretty good considering its a subrsprice phone besides being a bright screen it is also bigger compared to what we saw in earlier comparable redmi phones the redmicomes with ahd ips display it has screen resolution ofpixelsbattery backup is not good likemh battery backup but not goodotherwise mobile is very good and fabulous and value of money comparison other handset is too good,"['overall', 'the', 'screen', 'of', 'the', 'redmiis', 'pretty', 'good', 'considering', 'its', 'a', 'subrsprice', 'phone', 'besides', 'being', 'a', 'bright', 'screen', 'it', 'is', 'also', 'bigger', 'compared', 'to', 'what', 'we', 'saw', 'in', 'earlier', 'comparable', 'redmi', 'phones', 'the', 'redmicomes', 'with', 'ahd', 'ips', 'display', 'it', 'has', 'screen', 'resolution', 'ofpixelsbattery', 'backup', 'is', 'not', 'good', 'likemh', 'battery', 'backup', 'but', 'not', 'goodotherwise', 'mobile', 'is', 'very', 'good', 'and', 'fabulous', 'and', 'value', 'of', 'money', 'comparison', 'other', 'handset', 'is', 'too', 'good']","['overall', 'the', 'screen', 'of', 'the', 'red', 'mi', 'is', 'pretty', 'good', 'considering', 'its', 'a', 'sub', 'rs', 'price', 'phone', 'besides', 'being', 'a', 'bright', 'screen', 'it', 'is', 'also', 'bigger', 'compared', 'to', 'what', 'we', 'saw', 'in', 'earlier', 'comparable', 'red', 'mi', 'phones', 'the', 'red', 'mi', 'comes', 'with', 'ahd', 'ips', 'display', 'it', 'has', 'screen', 'resolution', 'of', 'pixels', 'battery', 'backup', 'is', 'not', 'good', 'like', 'mh', 'battery', 'backup', 'but', 'not', 'good', 'otherwise', 'mobile', 'is', 'very', 'good', 'and', 'fabulous', 'and', 'value', 'of', 'money', 'comparison', 'other', 'handset', 'is', 'too', 'good']","['overal', 'screen', 'red', 'mi', 'pretti', 'good', 'consid', 'sub', 'rs', 'price', 'phone', 'besid', 'bright', 'screen', 'also', 'bigger', 'compar', 'saw', 'earlier', 'compar', 'red', 'mi', 'phone', 'red', 'mi', 'come', 'ahd', 'ip', 'display', 'screen', 'resolut', 'pixel', 'batteri', 'backup', 'not', 'good', 'like', 'mh', 'batteri', 'backup', 'not', 'good', 'otherwis', 'mobil', 'good', 'fabul', 'valu', 'money', 'comparison', 'handset', 'good']",overal screen red mi pretti good consid sub rs price phone besid bright screen also bigger compar saw earlier compar red mi phone red mi come ahd ip display screen resolut pixel batteri backup not good like mh batteri backup not good otherwis mobil good fabul valu money comparison handset good
2,Hari Chandana Petli,terrific,5,awesome mobile ive purchased it for my mom she is very happy with this surprise guys dont take any option and make it as a selection wonderful mobile ,"['awesome', 'mobile', 'ive', 'purchased', 'it', 'for', 'my', 'mom', 'she', 'is', 'very', 'happy', 'with', 'this', 'surprise', 'guys', 'dont', 'take', 'any', 'option', 'and', 'make', 'it', 'as', 'a', 'selection', 'wonderful', 'mobile']","['awesome', 'mobile', 'ive', 'purchased', 'it', 'for', 'my', 'mom', 'she', 'is', 'very', 'happy', 'with', 'this', 'surprise', 'guys', 'dont', 'take', 'any', 'option', 'and', 'make', 'it', 'as', 'a', 'selection', 'wonderful', 'mobile']","['awesom', 'mobil', 'ive', 'purchas', 'mom', 'happi', 'surpris', 'guy', 'dont', 'take', 'option', 'make', 'select', 'wonder', 'mobil']",awesom mobil ive purchas mom happi surpris guy dont take option make select wonder mobil
3,PRINCE  SEBASTIAN,awesome,5,very good phonenice display andlong battery lifegood cameraram large storage decent price highly recommend,"['very', 'good', 'phonenice', 'display', 'andlong', 'battery', 'lifegood', 'cameraram', 'large', 'storage', 'decent', 'price', 'highly', 'recommend']","['very', 'good', 'phone', 'nice', 'display', 'and', 'long', 'battery', 'life', 'good', 'camera', 'ram', 'large', 'storage', 'decent', 'price', 'highly', 'recommend']","['good', 'phone', 'nice', 'display', 'long', 'batteri', 'life', 'good', 'camera', 'ram', 'larg', 'storag', 'decent', 'price', 'highli', 'recommend']",good phone nice display long batteri life good camera ram larg storag decent price highli recommend
4,Nagaraju Tech,nice product,4,super budget mobile i like type c portbig excellent storage device super,"['super', 'budget', 'mobile', 'i', 'like', 'type', 'c', 'portbig', 'excellent', 'storage', 'device', 'super']","['super', 'budget', 'mobile', 'i', 'like', 'type', 'c', 'port', 'big', 'excellent', 'storage', 'device', 'super']","['super', 'budget', 'mobil', 'like', 'type', 'c', 'port', 'big', 'excel', 'storag', 'devic', 'super']",super budget mobil like type c port big excel storag devic super
5,Vijendra Malivad,highly recommended,5,it was a very smoothly phone works and also it has a light weightthin that you are very easily use for the daily lifeimportant thing is that sapparine blue colour just love itwhenever youll see itthank you very much flipkart for only in maximumhours fast deliveryi think my opinion is redmivalue for money phone ❤,"['it', 'was', 'a', 'very', 'smoothly', 'phone', 'works', 'and', 'also', 'it', 'has', 'a', 'light', 'weightthin', 'that', 'you', 'are', 'very', 'easily', 'use', 'for', 'the', 'daily', 'lifeimportant', 'thing', 'is', 'that', 'sapparine', 'blue', 'colour', 'just', 'love', 'itwhenever', 'youll', 'see', 'itthank', 'you', 'very', 'much', 'flipkart', 'for', 'only', 'in', 'maximumhours', 'fast', 'deliveryi', 'think', 'my', 'opinion', 'is', 'redmivalue', 'for', 'money', 'phone', '❤']","['it', 'was', 'a', 'very', 'smoothly', 'phone', 'works', 'and', 'also', 'it', 'has', 'a', 'light', 'weight', 'thin', 'that', 'you', 'are', 'very', 'easily', 'use', 'for', 'the', 'daily', 'life', 'important', 'thing', 'is', 'that', 'sapp', 'arine', 'blue', 'colour', 'just', 'love', 'it', 'whenever', 'youll', 'see', 'it', 'thank', 'you', 'very', 'much', 'flip', 'kart', 'for', 'only', 'in', 'maximum', 'hours', 'fast', 'delivery', 'i', 'think', 'my', 'opinion', 'is', 'red', 'mi', 'value', 'for', 'money', 'phone']","['smoothli', 'phone', 'work', 'also', 'light', 'weight', 'thin', 'easili', 'use', 'daili', 'life', 'import', 'thing', 'sapp', 'arin', 'blue', 'colour', 'love', 'whenev', 'youll', 'see', 'thank', 'much', 'flip', 'kart', 'maximum', 'hour', 'fast', 'deliveri', 'think', 'opinion', 'red', 'mi', 'valu', 'money', 'phone']",smoothli phone work also light weight thin easili use daili life import thing sapp arin blue colour love whenev youll see thank much flip kart maximum hour fast deliveri think opinion red mi valu money phone
6,Jitu Sonkar,good choice,4,nice phone good battery life amazing design camera should have been better not really satisfied with the camera quality ,"['nice', 'phone', 'good', 'battery', 'life', 'amazing', 'design', 'camera', 'should', 'have', 'been', 'better', 'not', 'really', 'satisfied', 'with', 'the', 'camera', 'quality']","['nice', 'phone', 'good', 'battery', 'life', 'amazing', 'design', 'camera', 'should', 'have', 'been', 'better', 'not', 'really', 'satisfied', 'with', 'the', 'camera', 'quality']","['nice', 'phone', 'good', 'batteri', 'life', 'amaz', 'design', 'camera', 'better', 'not', 'realli', 'satisfi', 'camera', 'qualiti']",nice phone good batteri life amaz design camera better not realli satisfi camera qualiti
7,Navin Anjani,great product,5,redmiin good phone in good processor in goodin goodram,"['redmiin', 'good', 'phone', 'in', 'good', 'processor', 'in', 'goodin', 'goodram']","['red', 'mi', 'in', 'good', 'phone', 'in', 'good', 'processor', 'in', 'good', 'in', 'good', 'ram']","['red', 'mi', 'good', 'phone', 'good', 'processor', 'good', 'good', 'ram']",red mi good phone good processor good good ram
8,Subhajit kundu,excellent,5,stunning lookgoodpowerful performancepieawesomevalue for moneymore,"['stunning', 'lookgoodpowerful', 'performancepieawesomevalue', 'for', 'moneymore']","['stunning', 'look', 'good', 'powerful', 'performance', 'pie', 'awesome', 'value', 'for', 'money', 'more']","['stun', 'look', 'good', 'power', 'perform', 'pie', 'awesom', 'valu', 'money']",stun look good power perform pie awesom valu money
9,Sumit  Kumar ,highly recommended,5,wow great phone camera is super and battery is very good i am so happy this phone,"['wow', 'great', 'phone', 'camera', 'is', 'super', 'and', 'battery', 'is', 'very', 'good', 'i', 'am', 'so', 'happy', 'this', 'phone']","['wow', 'great', 'phone', 'camera', 'is', 'super', 'and', 'battery', 'is', 'very', 'good', 'i', 'am', 'so', 'happy', 'this', 'phone']","['wow', 'great', 'phone', 'camera', 'super', 'batteri', 'good', 'happi', 'phone']",wow great phone camera super batteri good happi phone
