,User Name,Heading,Rating,Review,tokens,tokens_seg,tokens_stem,review1
0,Flipkart Customer,must buy,5,really amazing phone by apple its come with iosit’s have really good features like memoji animoji simply awesome smart phone i love itthanks apple thanks flipkartthanks supercom,"['really', 'amazing', 'phone', 'by', 'apple', 'its', 'come', 'with', 'iosit', '’', 's', 'have', 'really', 'good', 'features', 'like', 'memoji', 'animoji', 'simply', 'awesome', 'smart', 'phone', 'i', 'love', 'itthanks', 'apple', 'thanks', 'flipkartthanks', 'supercom']","['really', 'amazing', 'phone', 'by', 'apple', 'its', 'come', 'with', 'ios', 'it', 's', 'have', 'really', 'good', 'features', 'like', 'me', 'moji', 'animo', 'ji', 'simply', 'awesome', 'smart', 'phone', 'i', 'love', 'it', 'thanks', 'apple', 'thanks', 'flip', 'kart', 'thanks', 'super', 'com']","['realli', 'amaz', 'phone', 'appl', 'come', 'io', 'realli', 'good', 'featur', 'like', 'moji', 'animo', 'ji', 'simpli', 'awesom', 'smart', 'phone', 'love', 'thank', 'appl', 'thank', 'flip', 'kart', 'thank', 'super', 'com']",realli amaz phone appl come io realli good featur like moji animo ji simpli awesom smart phone love thank appl thank flip kart thank super com
1,Vignesh Jayabal,highly recommended,5,i have bought theproduct red version being an android user it was a different handson experience of the xr and iam really liking itdisplay looks great sound quality is great camera quality is good and mainly the gaming performance is so smooth and fast and never felt a single frame drop evereven though its costly for an budget apple iphone its worth the money i have spent on this mobile,"['i', 'have', 'bought', 'theproduct', 'red', 'version', 'being', 'an', 'android', 'user', 'it', 'was', 'a', 'different', 'handson', 'experience', 'of', 'the', 'xr', 'and', 'iam', 'really', 'liking', 'itdisplay', 'looks', 'great', 'sound', 'quality', 'is', 'great', 'camera', 'quality', 'is', 'good', 'and', 'mainly', 'the', 'gaming', 'performance', 'is', 'so', 'smooth', 'and', 'fast', 'and', 'never', 'felt', 'a', 'single', 'frame', 'drop', 'evereven', 'though', 'its', 'costly', 'for', 'an', 'budget', 'apple', 'iphone', 'its', 'worth', 'the', 'money', 'i', 'have', 'spent', 'on', 'this', 'mobile']","['i', 'have', 'bought', 'the', 'product', 'red', 'version', 'being', 'an', 'android', 'user', 'it', 'was', 'a', 'different', 'hands', 'on', 'experience', 'of', 'the', 'xr', 'and', 'i', 'am', 'really', 'liking', 'it', 'display', 'looks', 'great', 'sound', 'quality', 'is', 'great', 'camera', 'quality', 'is', 'good', 'and', 'mainly', 'the', 'gaming', 'performance', 'is', 'so', 'smooth', 'and', 'fast', 'and', 'never', 'felt', 'a', 'single', 'frame', 'drop', 'ever', 'even', 'though', 'its', 'costly', 'for', 'an', 'budget', 'apple', 'i', 'phone', 'its', 'worth', 'the', 'money', 'i', 'have', 'spent', 'on', 'this', 'mobile']","['bought', 'product', 'red', 'version', 'android', 'user', 'differ', 'hand', 'experi', 'xr', 'realli', 'like', 'display', 'look', 'great', 'sound', 'qualiti', 'great', 'camera', 'qualiti', 'good', 'mainli', 'game', 'perform', 'smooth', 'fast', 'never', 'felt', 'singl', 'frame', 'drop', 'ever', 'even', 'though', 'costli', 'budget', 'appl', 'phone', 'worth', 'money', 'spent', 'mobil']",bought product red version android user differ hand experi xr realli like display look great sound qualiti great camera qualiti good mainli game perform smooth fast never felt singl frame drop ever even though costli budget appl phone worth money spent mobil
2,Vineeth Vasu,best in the market,5,best ever from iphone this is my first apple device and i’m very glad that i bought this instead of onepluesphone has awesome battery backup sound qualitystyleand camera,"['best', 'ever', 'from', 'iphone', 'this', 'is', 'my', 'first', 'apple', 'device', 'and', 'i', '’', 'm', 'very', 'glad', 'that', 'i', 'bought', 'this', 'instead', 'of', 'onepluesphone', 'has', 'awesome', 'battery', 'backup', 'sound', 'qualitystyleand', 'camera']","['best', 'ever', 'from', 'i', 'phone', 'this', 'is', 'my', 'first', 'apple', 'device', 'and', 'i', 'm', 'very', 'glad', 'that', 'i', 'bought', 'this', 'instead', 'of', 'one', 'plu', 'es', 'phone', 'has', 'awesome', 'battery', 'backup', 'sound', 'quality', 'style', 'and', 'camera']","['best', 'ever', 'phone', 'first', 'appl', 'devic', 'glad', 'bought', 'instead', 'one', 'plu', 'es', 'phone', 'awesom', 'batteri', 'backup', 'sound', 'qualiti', 'style', 'camera']",best ever phone first appl devic glad bought instead one plu es phone awesom batteri backup sound qualiti style camera
3,Akash Singh,fabulous product love it,5,the phone has a supreme build and a sturdy feel in hands coming from ai felt it was a bit too wide but it’ll grow on you the red is by far the best color among available and this one is an absolute battery champ and won’t let you down charging is also pretty fast if you use a fast charger i use an ipadcharger to top it up and it goes fromtowithinmins if we take in the factor of longevity of the iphones ios support and updates for atleast nextyears this is ,"['the', 'phone', 'has', 'a', 'supreme', 'build', 'and', 'a', 'sturdy', 'feel', 'in', 'hands', 'coming', 'from', 'ai', 'felt', 'it', 'was', 'a', 'bit', 'too', 'wide', 'but', 'it', '’', 'll', 'grow', 'on', 'you', 'the', 'red', 'is', 'by', 'far', 'the', 'best', 'color', 'among', 'available', 'and', 'this', 'one', 'is', 'an', 'absolute', 'battery', 'champ', 'and', 'won', '’', 't', 'let', 'you', 'down', 'charging', 'is', 'also', 'pretty', 'fast', 'if', 'you', 'use', 'a', 'fast', 'charger', 'i', 'use', 'an', 'ipadcharger', 'to', 'top', 'it', 'up', 'and', 'it', 'goes', 'fromtowithinmins', 'if', 'we', 'take', 'in', 'the', 'factor', 'of', 'longevity', 'of', 'the', 'iphones', 'ios', 'support', 'and', 'updates', 'for', 'atleast', 'nextyears', 'this', 'is']","['the', 'phone', 'has', 'a', 'supreme', 'build', 'and', 'a', 'sturdy', 'feel', 'in', 'hands', 'coming', 'from', 'a', 'i', 'felt', 'it', 'was', 'a', 'bit', 'too', 'wide', 'but', 'it', 'll', 'grow', 'on', 'you', 'the', 'red', 'is', 'by', 'far', 'the', 'best', 'color', 'among', 'available', 'and', 'this', 'one', 'is', 'an', 'absolute', 'battery', 'champ', 'and', 'won', 't', 'let', 'you', 'down', 'charging', 'is', 'also', 'pretty', 'fast', 'if', 'you', 'use', 'a', 'fast', 'charger', 'i', 'use', 'an', 'i', 'pad', 'charger', 'to', 'top', 'it', 'up', 'and', 'it', 'goes', 'from', 'to', 'within', 'mins', 'if', 'we', 'take', 'in', 'the', 'factor', 'of', 'longevity', 'of', 'the', 'i', 'phones', 'ios', 'support', 'and', 'updates', 'for', 'at', 'least', 'next', 'years', 'this', 'is']","['phone', 'suprem', 'build', 'sturdi', 'feel', 'hand', 'come', 'felt', 'bit', 'wide', 'grow', 'red', 'far', 'best', 'color', 'among', 'avail', 'one', 'absolut', 'batteri', 'champ', 'let', 'charg', 'also', 'pretti', 'fast', 'use', 'fast', 'charger', 'use', 'pad', 'charger', 'top', 'goe', 'within', 'min', 'take', 'factor', 'longev', 'phone', 'io', 'support', 'updat', 'least', 'next', 'year']",phone suprem build sturdi feel hand come felt bit wide grow red far best color among avail one absolut batteri champ let charg also pretti fast use fast charger use pad charger top goe within min take factor longev phone io support updat least next year
4,Samit Katiyar,very good,4,after using android foryrs m i moved to ios and i must say its very difficult to find n use iphonei will come to this laterlet me start with features nice camera but not better than samsung notedisplay bright n goodnice sound and very good look a bit bulky what irritates mesetting ur fav song as ringtone torture to do of good app either wallpaper or ringtones or utility areicloud onlynot able to migrate chrome bookmarks ,"['after', 'using', 'android', 'foryrs', 'm', 'i', 'moved', 'to', 'ios', 'and', 'i', 'must', 'say', 'its', 'very', 'difficult', 'to', 'find', 'n', 'use', 'iphonei', 'will', 'come', 'to', 'this', 'laterlet', 'me', 'start', 'with', 'features', 'nice', 'camera', 'but', 'not', 'better', 'than', 'samsung', 'notedisplay', 'bright', 'n', 'goodnice', 'sound', 'and', 'very', 'good', 'look', 'a', 'bit', 'bulky', 'what', 'irritates', 'mesetting', 'ur', 'fav', 'song', 'as', 'ringtone', 'torture', 'to', 'do', 'of', 'good', 'app', 'either', 'wallpaper', 'or', 'ringtones', 'or', 'utility', 'areicloud', 'onlynot', 'able', 'to', 'migrate', 'chrome', 'bookmarks']","['after', 'using', 'android', 'for', 'yrs', 'm', 'i', 'moved', 'to', 'ios', 'and', 'i', 'must', 'say', 'its', 'very', 'difficult', 'to', 'find', 'n', 'use', 'i', 'phone', 'i', 'will', 'come', 'to', 'this', 'later', 'let', 'me', 'start', 'with', 'features', 'nice', 'camera', 'but', 'not', 'better', 'than', 'samsung', 'note', 'display', 'bright', 'n', 'good', 'nice', 'sound', 'and', 'very', 'good', 'look', 'a', 'bit', 'bulky', 'what', 'irritates', 'me', 'setting', 'ur', 'fav', 'song', 'as', 'ringtone', 'torture', 'to', 'do', 'of', 'good', 'app', 'either', 'wallpaper', 'or', 'ringtones', 'or', 'utility', 'are', 'i', 'cloud', 'only', 'not', 'able', 'to', 'migrate', 'chrome', 'bookmarks']","['use', 'android', 'yr', 'move', 'io', 'must', 'say', 'difficult', 'find', 'n', 'use', 'phone', 'come', 'later', 'let', 'start', 'featur', 'nice', 'camera', 'not', 'better', 'samsung', 'note', 'display', 'bright', 'n', 'good', 'nice', 'sound', 'good', 'look', 'bit', 'bulki', 'irrit', 'set', 'ur', 'fav', 'song', 'rington', 'tortur', 'good', 'app', 'either', 'wallpap', 'rington', 'util', 'cloud', 'not', 'abl', 'migrat', 'chrome', 'bookmark']",use android yr move io must say difficult find n use phone come later let start featur nice camera not better samsung note display bright n good nice sound good look bit bulki irrit set ur fav song rington tortur good app either wallpap rington util cloud not abl migrat chrome bookmark
5,Ashish Bahure,wonderful,4,let’s keep it simplephone is damn smooth and if you are coming from android you will really notice the difference no matter which smartphone you usedcamera and image processing portraitbatteryscreen on time ie all day batteryios if you are coming from android you will needdays to get used to it like gestures and all but once you are into it theres no way turning back animations are refined and you will enjoyface id is su,"['let', '’', 's', 'keep', 'it', 'simplephone', 'is', 'damn', 'smooth', 'and', 'if', 'you', 'are', 'coming', 'from', 'android', 'you', 'will', 'really', 'notice', 'the', 'difference', 'no', 'matter', 'which', 'smartphone', 'you', 'usedcamera', 'and', 'image', 'processing', 'portraitbatteryscreen', 'on', 'time', 'ie', 'all', 'day', 'batteryios', 'if', 'you', 'are', 'coming', 'from', 'android', 'you', 'will', 'needdays', 'to', 'get', 'used', 'to', 'it', 'like', 'gestures', 'and', 'all', 'but', 'once', 'you', 'are', 'into', 'it', 'theres', 'no', 'way', 'turning', 'back', 'animations', 'are', 'refined', 'and', 'you', 'will', 'enjoyface', 'id', 'is', 'su']","['let', 's', 'keep', 'it', 'simple', 'phone', 'is', 'damn', 'smooth', 'and', 'if', 'you', 'are', 'coming', 'from', 'android', 'you', 'will', 'really', 'notice', 'the', 'difference', 'no', 'matter', 'which', 'smartphone', 'you', 'used', 'camera', 'and', 'image', 'processing', 'portrait', 'battery', 'screen', 'on', 'time', 'ie', 'all', 'day', 'battery', 'ios', 'if', 'you', 'are', 'coming', 'from', 'android', 'you', 'will', 'need', 'days', 'to', 'get', 'used', 'to', 'it', 'like', 'gestures', 'and', 'all', 'but', 'once', 'you', 'are', 'into', 'it', 'theres', 'no', 'way', 'turning', 'back', 'animations', 'are', 'refined', 'and', 'you', 'will', 'enjoy', 'face', 'id', 'is', 'su']","['let', 'keep', 'simpl', 'phone', 'damn', 'smooth', 'come', 'android', 'realli', 'notic', 'differ', 'matter', 'smartphon', 'use', 'camera', 'imag', 'process', 'portrait', 'batteri', 'screen', 'time', 'ie', 'day', 'batteri', 'io', 'come', 'android', 'need', 'day', 'get', 'use', 'like', 'gestur', 'there', 'way', 'turn', 'back', 'anim', 'refin', 'enjoy', 'face', 'id', 'su']",let keep simpl phone damn smooth come android realli notic differ matter smartphon use camera imag process portrait batteri screen time ie day batteri io come android need day get use like gestur there way turn back anim refin enjoy face id su
6,Flipkart Customer,wonderful,5,awesome ❤just go for it i am very happy with my decision for buying xr instead of iphoneplus x xs and xs max here are the comparisons among these models which made it easy for me to decide to buy thisthis iphone has hd screen but others have full hd still it doesn’t disappoint me while watching full hdperfect screen size not tooplus xs max and not very smalliphone x or iphone xsall these models exceptplus have new iphon,"['awesome', '❤just', 'go', 'for', 'it', 'i', 'am', 'very', 'happy', 'with', 'my', 'decision', 'for', 'buying', 'xr', 'instead', 'of', 'iphoneplus', 'x', 'xs', 'and', 'xs', 'max', 'here', 'are', 'the', 'comparisons', 'among', 'these', 'models', 'which', 'made', 'it', 'easy', 'for', 'me', 'to', 'decide', 'to', 'buy', 'thisthis', 'iphone', 'has', 'hd', 'screen', 'but', 'others', 'have', 'full', 'hd', 'still', 'it', 'doesn', '’', 't', 'disappoint', 'me', 'while', 'watching', 'full', 'hdperfect', 'screen', 'size', 'not', 'tooplus', 'xs', 'max', 'and', 'not', 'very', 'smalliphone', 'x', 'or', 'iphone', 'xsall', 'these', 'models', 'exceptplus', 'have', 'new', 'iphon']","['awesome', 'just', 'go', 'for', 'it', 'i', 'am', 'very', 'happy', 'with', 'my', 'decision', 'for', 'buying', 'xr', 'instead', 'of', 'i', 'phone', 'plus', 'x', 'xs', 'and', 'xs', 'max', 'here', 'are', 'the', 'comparisons', 'among', 'these', 'models', 'which', 'made', 'it', 'easy', 'for', 'me', 'to', 'decide', 'to', 'buy', 'this', 'this', 'i', 'phone', 'has', 'hd', 'screen', 'but', 'others', 'have', 'full', 'hd', 'still', 'it', 'doesn', 't', 'disappoint', 'me', 'while', 'watching', 'full', 'hd', 'perfect', 'screen', 'size', 'not', 'too', 'plus', 'xs', 'max', 'and', 'not', 'very', 'small', 'i', 'phone', 'x', 'or', 'i', 'phone', 'xs', 'all', 'these', 'models', 'except', 'plus', 'have', 'new', 'ip', 'hon']","['awesom', 'go', 'happi', 'decis', 'buy', 'xr', 'instead', 'phone', 'plu', 'x', 'xs', 'xs', 'max', 'comparison', 'among', 'model', 'made', 'easi', 'decid', 'buy', 'phone', 'hd', 'screen', 'other', 'full', 'hd', 'still', 'disappoint', 'watch', 'full', 'hd', 'perfect', 'screen', 'size', 'not', 'plu', 'xs', 'max', 'not', 'small', 'phone', 'x', 'phone', 'xs', 'model', 'except', 'plu', 'new', 'ip', 'hon']",awesom go happi decis buy xr instead phone plu x xs xs max comparison among model made easi decid buy phone hd screen other full hd still disappoint watch full hd perfect screen size not plu xs max not small phone x phone xs model except plu new ip hon
7,AAKASH  SIMSON,great product,5,i feel as if the people who gave the iphone xr low ratings either didnt know what they were getting or didnt do research i did a lot of research about the xr by watching a lot of youtube videos of what the xr had to offer and the changes made from the previous iphone models the first thing is that the xr doesnt have a finger print home button instead it uses face recognition to unlock it or a pin code second thing is that the control center has moved from swiping up from the bottom to ,"['i', 'feel', 'as', 'if', 'the', 'people', 'who', 'gave', 'the', 'iphone', 'xr', 'low', 'ratings', 'either', 'didnt', 'know', 'what', 'they', 'were', 'getting', 'or', 'didnt', 'do', 'research', 'i', 'did', 'a', 'lot', 'of', 'research', 'about', 'the', 'xr', 'by', 'watching', 'a', 'lot', 'of', 'youtube', 'videos', 'of', 'what', 'the', 'xr', 'had', 'to', 'offer', 'and', 'the', 'changes', 'made', 'from', 'the', 'previous', 'iphone', 'models', 'the', 'first', 'thing', 'is', 'that', 'the', 'xr', 'doesnt', 'have', 'a', 'finger', 'print', 'home', 'button', 'instead', 'it', 'uses', 'face', 'recognition', 'to', 'unlock', 'it', 'or', 'a', 'pin', 'code', 'second', 'thing', 'is', 'that', 'the', 'control', 'center', 'has', 'moved', 'from', 'swiping', 'up', 'from', 'the', 'bottom', 'to']","['i', 'feel', 'as', 'if', 'the', 'people', 'who', 'gave', 'the', 'i', 'phone', 'xr', 'low', 'ratings', 'either', 'didnt', 'know', 'what', 'they', 'were', 'getting', 'or', 'didnt', 'do', 'research', 'i', 'did', 'a', 'lot', 'of', 'research', 'about', 'the', 'xr', 'by', 'watching', 'a', 'lot', 'of', 'youtube', 'videos', 'of', 'what', 'the', 'xr', 'had', 'to', 'offer', 'and', 'the', 'changes', 'made', 'from', 'the', 'previous', 'i', 'phone', 'models', 'the', 'first', 'thing', 'is', 'that', 'the', 'xr', 'doesnt', 'have', 'a', 'finger', 'print', 'home', 'button', 'instead', 'it', 'uses', 'face', 'recognition', 'to', 'unlock', 'it', 'or', 'a', 'pin', 'code', 'second', 'thing', 'is', 'that', 'the', 'control', 'center', 'has', 'moved', 'from', 'swiping', 'up', 'from', 'the', 'bottom', 'to']","['feel', 'peopl', 'gave', 'phone', 'xr', 'low', 'rate', 'either', 'didnt', 'know', 'get', 'didnt', 'research', 'lot', 'research', 'xr', 'watch', 'lot', 'youtub', 'video', 'xr', 'offer', 'chang', 'made', 'previou', 'phone', 'model', 'first', 'thing', 'xr', 'doesnt', 'finger', 'print', 'home', 'button', 'instead', 'use', 'face', 'recognit', 'unlock', 'pin', 'code', 'second', 'thing', 'control', 'center', 'move', 'swipe', 'bottom']",feel peopl gave phone xr low rate either didnt know get didnt research lot research xr watch lot youtub video xr offer chang made previou phone model first thing xr doesnt finger print home button instead use face recognit unlock pin code second thing control center move swipe bottom
8,Shailendra Singh Rawat,brilliant,5,shifted from iphone se to xr a sea change the camera both front and rear are amazing with fantastic editing optionsthe face id makes unlocking phone apps etc so smooththe size is also just right anything bigger than this should be called tabthe screen resolution is goodi am enjoying my iphone xr,"['shifted', 'from', 'iphone', 'se', 'to', 'xr', 'a', 'sea', 'change', 'the', 'camera', 'both', 'front', 'and', 'rear', 'are', 'amazing', 'with', 'fantastic', 'editing', 'optionsthe', 'face', 'id', 'makes', 'unlocking', 'phone', 'apps', 'etc', 'so', 'smooththe', 'size', 'is', 'also', 'just', 'right', 'anything', 'bigger', 'than', 'this', 'should', 'be', 'called', 'tabthe', 'screen', 'resolution', 'is', 'goodi', 'am', 'enjoying', 'my', 'iphone', 'xr']","['shifted', 'from', 'i', 'phone', 'se', 'to', 'xr', 'a', 'sea', 'change', 'the', 'camera', 'both', 'front', 'and', 'rear', 'are', 'amazing', 'with', 'fantastic', 'editing', 'options', 'the', 'face', 'id', 'makes', 'unlocking', 'phone', 'apps', 'etc', 'so', 'smooth', 'the', 'size', 'is', 'also', 'just', 'right', 'anything', 'bigger', 'than', 'this', 'should', 'be', 'called', 'tab', 'the', 'screen', 'resolution', 'is', 'good', 'i', 'am', 'enjoying', 'my', 'i', 'phone', 'xr']","['shift', 'phone', 'se', 'xr', 'sea', 'chang', 'camera', 'front', 'rear', 'amaz', 'fantast', 'edit', 'option', 'face', 'id', 'make', 'unlock', 'phone', 'app', 'etc', 'smooth', 'size', 'also', 'right', 'anyth', 'bigger', 'call', 'tab', 'screen', 'resolut', 'good', 'enjoy', 'phone', 'xr']",shift phone se xr sea chang camera front rear amaz fantast edit option face id make unlock phone app etc smooth size also right anyth bigger call tab screen resolut good enjoy phone xr
9,Vivek  Soman,terrific,5,frankly speaking i was hesitating to place order online for such huge amount phone but the exchange facility committed delivery time and the packaging is absolutely fine thanks toflipkart talking about the phonei switched to ios for the first time i am one plus lover but i didn’t want to pay to chinese product hence got this amazing made in california and assembled in india product smooth touch ease of handling and good battery life is giving nice experience value for money,"['frankly', 'speaking', 'i', 'was', 'hesitating', 'to', 'place', 'order', 'online', 'for', 'such', 'huge', 'amount', 'phone', 'but', 'the', 'exchange', 'facility', 'committed', 'delivery', 'time', 'and', 'the', 'packaging', 'is', 'absolutely', 'fine', 'thanks', 'toflipkart', 'talking', 'about', 'the', 'phonei', 'switched', 'to', 'ios', 'for', 'the', 'first', 'time', 'i', 'am', 'one', 'plus', 'lover', 'but', 'i', 'didn', '’', 't', 'want', 'to', 'pay', 'to', 'chinese', 'product', 'hence', 'got', 'this', 'amazing', 'made', 'in', 'california', 'and', 'assembled', 'in', 'india', 'product', 'smooth', 'touch', 'ease', 'of', 'handling', 'and', 'good', 'battery', 'life', 'is', 'giving', 'nice', 'experience', 'value', 'for', 'money']","['frankly', 'speaking', 'i', 'was', 'hesitating', 'to', 'place', 'order', 'online', 'for', 'such', 'huge', 'amount', 'phone', 'but', 'the', 'exchange', 'facility', 'committed', 'delivery', 'time', 'and', 'the', 'packaging', 'is', 'absolutely', 'fine', 'thanks', 'to', 'flip', 'kart', 'talking', 'about', 'the', 'phone', 'i', 'switched', 'to', 'ios', 'for', 'the', 'first', 'time', 'i', 'am', 'one', 'plus', 'lover', 'but', 'i', 'didn', 't', 'want', 'to', 'pay', 'to', 'chinese', 'product', 'hence', 'got', 'this', 'amazing', 'made', 'in', 'california', 'and', 'assembled', 'in', 'india', 'product', 'smooth', 'touch', 'ease', 'of', 'handling', 'and', 'good', 'battery', 'life', 'is', 'giving', 'nice', 'experience', 'value', 'for', 'money']","['frankli', 'speak', 'hesit', 'place', 'order', 'onlin', 'huge', 'amount', 'phone', 'exchang', 'facil', 'commit', 'deliveri', 'time', 'packag', 'absolut', 'fine', 'thank', 'flip', 'kart', 'talk', 'phone', 'switch', 'io', 'first', 'time', 'one', 'plu', 'lover', 'want', 'pay', 'chines', 'product', 'henc', 'got', 'amaz', 'made', 'california', 'assembl', 'india', 'product', 'smooth', 'touch', 'eas', 'handl', 'good', 'batteri', 'life', 'give', 'nice', 'experi', 'valu', 'money']",frankli speak hesit place order onlin huge amount phone exchang facil commit deliveri time packag absolut fine thank flip kart talk phone switch io first time one plu lover want pay chines product henc got amaz made california assembl india product smooth touch eas handl good batteri life give nice experi valu money
