,Unnamed: 0,User Name,Heading,Rating,Review,vector
0,0,Arunangshu Banik,Just wow!,5,I am spellbound after seeing this.What a value of money ... love you MI 🎊😍😘 ...and also the package delivery service and packing was quite good .READ MORE,1
1,1,Sachin Pashte ,Awesome,5,"Overall, the screen of the Redmi 8 is pretty good considering its a sub-Rs 10,000 price phone. Besides being a bright screen it is also bigger compared to what we saw in earlier comparable Redmi phones. The Redmi 8 comes with a 6.22-inch HD+ IPS display. It has screen resolution of 1520x720 pixels.Battery backup is not good like 5000 mh battery backup but not good.Otherwise mobile is very good and fabulous and value of money comparison other handset is too good.READ MORE",1
2,2,Hari Chandana Petli,Terrific,5,Awesome mobile. I've purchased it for my Mom🥰... She is very happy with this SURPRISE... Guys don't take any Option and make it as a Selection... Wonderful Mobile 🤩READ MORE,1
3,3,PRINCE  SEBASTIAN,Awesome,5,"Very good phone...nice display and  long battery life ,, good camera, 4gb Ram, large storage... decent price... highly recommendREAD MORE",1
4,4,Nagaraju Tech,Nice product,4,super budget mobile i like type c port 5000mah big battery4gb 64gb excellent storage device superREAD MORE,1
5,5,Vijendra Malivad,Highly recommended,5,"it was a very smoothly phone works and also it has a light weight,thin that you are very easily use for the daily life.important thing is that Sapparine blue colour just love it...whenever you'll see it...thank you very much flipkart for only in maximum 30 hours fast delivery...i think my opinion is redmi 8 value for money phone📱 ❤READ MORE",1
6,6,Jitu Sonkar,Good choice,4,"Nice phone, Good battery life, amazing design... camera should have been better... not really satisfied with the camera quality 😞READ MORE",1
7,7,Navin Anjani,Great product,5,Redmi 7 In Good Phone in Good processor in Good 64Gb In Good 4G RamREAD MORE,1
8,8,Subhajit kundu,Excellent,5,Stunning look 5camera good 4Battery powerful performance 5Android pie 5Display awesome 5 Value for money 5READ MORE,1
9,9,Sumit  Kumar ,Highly recommended,5,Wow great phone camera is super and battery is very good I am so happy this phoneREAD MORE,1
10,10,Flipkart Customer,Simply awesome,5,"Awesom product. From my point of view, redmi 8 is the only must buy mobile phone for moderate budget people. The battery, display, and ram & rom performs well. The speaker has huge & crystal clear voice, and the look is so hot & attractive that this phone dominates in front of other high budget phones.As such all color varients are better, but I own the Emerald green varient which is the best, awesome & appreciated & praised by all, whoever see it.READ MORE",1
11,11,Sayon Gorai,Moderate,4,"HONEST REVIEW FROM A HONEST BUYER !I know there are lot of pros but one major con is making everything in this phone bad .i.e the processor. The phone is very slow--the fingerprint sensor, the application handling, the typing in keyboard. So overall if you are looking for a secondary phone only for calls then you can go for it otherwise in this range go for Asus who also has the same configuration in terms of battery and RAM but with a far fast processor .Black colour model is a big turno...READ MORE",1
12,12,Gourav Singh,Wonderful,5,"good phone and battery ,camera good ... processor is good but according to money not goodand display  is also good but according to money it is not good. all over a good phone.READ MORE",1
13,13,Ameya  Banavali,Worst experience ever!,5,Nothing Good About this phone other than the cost...it's heavy .. the display is dull.... the rear camera is as good as a 8 megapixel... Selfies are auto beautified so the face looks digitally enhanced.... performance wise to there is a lot of lag... it took me approx 40 secs to load up the Google page...All in all this phone is like a all in one tool kit with half the tools missing / rusty...READ MORE,1
14,14,Kanishka Mudgal,Great product,5,"I got this phone within two days.. the delivery service was awesome, and the mobile is super Amazing 😍🙈. If you're planning to order this phone , go for the green colour as it is mesmerizing 💓💕My family and all my friends loved the colour too!!It comes with 4gb ram also in this price which is a bonus 🤓Just go for it.!!!🤘READ MORE",1
15,15,Dilruban Ahmad,Fabulous!,4,this mobile is superb everything things is great battery backup camera display all is osm and it's design is very impressive I like this mobile very much in this budget is mobile is superb you should go for itREAD MORE,1
16,16,Modassar Khan,Worth every penny,5,I'm happy to this mobile phone bettry is good value of money best is the best thank you FlipkartREAD MORE,1
17,17,Dr. Pragnesh  Patni ,Value-for-money,4,well it's good for simple work and capture good pics. internet speed is not good compare to others.READ MORE,1
18,18,AS.  Husain,Great product,2,Camera is good & the battery backup is strong & at this cost that is amazing phone & due to heavy battery it have more weight like other mobile.Back design is awesome.you can purchase without any hesitation.READ MORE,0
19,19,Flipkart Customer,Delightful,1,"Have received the product today (13/08)  and the phone looks great, battery back up is excellent till now, camera is satisfactory , screen size is good and in terms of performance (4 GB RAM) do justify that.Over All 4/5 - A good budget smartphoneREAD MORE",0
20,20,PREMCHANDRA DIWAKAR,Worth every penny,5,very fast delivery by flipkart. excellent phone battery backup is powerful..my suggestion for this price very good option.thank you so much flipkart. i love it.READ MORE,1
21,21,Sk.Sahina  Siraz,Classy product,5,EXCELLENT SMARTPHONE PRESENTED BY XIAOMI                           BRAND-XIAOMI                                                                                   REDMI 8 RUBY RED.                                                            STORAGE CAPACITY- 4GB RAM. 64 GB ROM. EXPANDABLE UPTO 512 GB .                                                                      SCREEN SIZE - 15.8 cm (6.22inch) HD LARGR DISPLAY. REAR CAMERA RESOLUTION-12 + 2 MP CAMERA.             FRONT CAMERA RESOLUTIO...READ MORE,1
22,22,Flipkart Customer,Just wow!,5,very nice mobile it's display is very nice and the camera is also very nice thankyou flipkart for giving this good productREAD MORE,1
23,23,Badroddin S,Best in the market!,5,"Attractive Colour n Specs. Value for Money Product. If u r not giving more importance to Camera then this is the Right one for u. Battery capacity, Stylish, Memory space. All worthy at this Price. Mi Rocks. 😍🤘READ MORE",1
24,24,Muhmmad Ahmad,Fabulous!,5,Very nice Mobile phone  Colour is Best and Display super .and Camera quality is BestREAD MORE,1
25,25,Mohammad Shahid,Brilliant,5,very impressive mobile . look like is very awesome.. design is very good. I like it blur quality is good .READ MORE,1
26,26,Flipkart Customer,Value-for-money,4,Very good phone in lowest budget and good performance. Very good fast deliveryREAD MORE,1
